"subject","info","answer"
"5f1b5383718fb9174851cf78",1,"175"
"5f1b5383718fb9174851cf78",3,"150"
"5f1b5383718fb9174851cf78",10,"120"
"5bfee18592eb3b0001a2fe23",1,"130"
"5bfee18592eb3b0001a2fe23",3,"140"
"5bfee18592eb3b0001a2fe23",10,"130"
"5bfe875ecfd0b5000174259e",1,"300"
"5bfe875ecfd0b5000174259e",3,"150"
"5bfe875ecfd0b5000174259e",10,"110"
"5ca7ca2ea5568f0015f74ecc",1,"500"
"5ca7ca2ea5568f0015f74ecc",3,"150"
"5ca7ca2ea5568f0015f74ecc",10,"115"
"5cfe0c0b09897800014ff31b",1,"200"
"5cfe0c0b09897800014ff31b",3,"150"
"5cfe0c0b09897800014ff31b",10,"105"
"5ec2faa3f115e71420091ccf",1,"102"
"5ec2faa3f115e71420091ccf",3,"203"
"5ec2faa3f115e71420091ccf",10,"470"
"5eb32d8f960a4f10eef4c618",1,"150"
"5eb32d8f960a4f10eef4c618",3,"150"
"5eb32d8f960a4f10eef4c618",10,"150"
"5f0cd3a6180f41524ef7bfcb",1,"200"
"5f0cd3a6180f41524ef7bfcb",3,"150"
"5f0cd3a6180f41524ef7bfcb",10,"110"
"5e8f47da1bb68e05febc0cf4",1,"150"
"5e8f47da1bb68e05febc0cf4",3,"110"
"5e8f47da1bb68e05febc0cf4",10,"105"
"5ba785da1db9be000152c608",1,"150"
"5ba785da1db9be000152c608",3,"110"
"5ba785da1db9be000152c608",10,"110"
"5ded597631a7e041af9f61fa",1,"250"
"5ded597631a7e041af9f61fa",3,"150"
"5ded597631a7e041af9f61fa",10,"120"
"5f297ce98993020866ce4d16",1,"500"
"5f297ce98993020866ce4d16",3,"250"
"5f297ce98993020866ce4d16",10,"150"
"5e2b218ea9cd9702c2c163fb",1,"150"
"5e2b218ea9cd9702c2c163fb",3,"150"
"5e2b218ea9cd9702c2c163fb",10,"125"
"5ed67a8273beeb09f3cd44fc",1,"150"
"5ed67a8273beeb09f3cd44fc",3,"120"
"5ed67a8273beeb09f3cd44fc",10,"120"
"5ead68a50869fc3ed4190f39",1,"1000"
"5ead68a50869fc3ed4190f39",3,"200"
"5ead68a50869fc3ed4190f39",10,"150"
"5dd6fd26a0f99f000d914736",1,"300"
"5dd6fd26a0f99f000d914736",3,"150"
"5dd6fd26a0f99f000d914736",10,"130"
"5caccbdeb2b891001c557968",1,"150"
"5caccbdeb2b891001c557968",3,"150"
"5caccbdeb2b891001c557968",10,"120"
"5f205909d2fcf70e5ac2527a",1,"150"
"5f205909d2fcf70e5ac2527a",3,"150"
"5f205909d2fcf70e5ac2527a",10,"150"
"5e9d1798a5f66424e452baa8",1,"1000"
"5e9d1798a5f66424e452baa8",3,"1000"
"5e9d1798a5f66424e452baa8",10,"1000"
"5ec55247144f4f4fc6620d80",1,"103"
"5ec55247144f4f4fc6620d80",3,"70"
"5ec55247144f4f4fc6620d80",10,"60"
"5f37d53e5762090478699866",1,"103"
"5f37d53e5762090478699866",3,"103"
"5f37d53e5762090478699866",10,"103"
"5e725c8891be1c1966406aec",1,"200"
"5e725c8891be1c1966406aec",3,"103"
"5e725c8891be1c1966406aec",10,"103"
"5f1abcf92171f82034b6093a",1,"200"
"5f1abcf92171f82034b6093a",3,"150"
"5f1abcf92171f82034b6093a",10,"150"
"5e8b4b875ac5d50009845a7b",1,"250"
"5e8b4b875ac5d50009845a7b",3,"150"
"5e8b4b875ac5d50009845a7b",10,"150"
"5f015b4f1eb1e52b14d0f220",1,"150"
"5f015b4f1eb1e52b14d0f220",3,"150"
"5f015b4f1eb1e52b14d0f220",10,"150"
"5e385f70b0e66106bb2b7b1e",1,"200"
"5e385f70b0e66106bb2b7b1e",3,"200"
"5e385f70b0e66106bb2b7b1e",10,"200"
"5c2e7158a0852500014ceb0b",1,"200"
"5c2e7158a0852500014ceb0b",3,"200"
"5c2e7158a0852500014ceb0b",10,"200"
"5f35688b8ad4af51619fa589",1,"103"
"5f35688b8ad4af51619fa589",3,"103"
"5f35688b8ad4af51619fa589",10,"103"
"5ef85dea50dc6b5a707c9b2e",1,"150"
"5ef85dea50dc6b5a707c9b2e",3,"120"
"5ef85dea50dc6b5a707c9b2e",10,"105"
"5d1cbd87b5087400185792a4",1,"500"
"5d1cbd87b5087400185792a4",3,"200"
"5d1cbd87b5087400185792a4",10,"110"
"5a05b4e5728b1b0001ad8eee",1,"300"
"5a05b4e5728b1b0001ad8eee",3,"200"
"5a05b4e5728b1b0001ad8eee",10,"150"
"5f0af097e7d15b3bf7734642",1,"200"
"5f0af097e7d15b3bf7734642",3,"150"
"5f0af097e7d15b3bf7734642",10,"110"
"5eea8b729b444a1a0548fec2",1,"170"
"5eea8b729b444a1a0548fec2",3,"130"
"5eea8b729b444a1a0548fec2",10,"120"
"5eab31abeb3ceb0f745319b8",1,"103"
"5eab31abeb3ceb0f745319b8",3,"103"
"5eab31abeb3ceb0f745319b8",10,"103"
